refind,label,description,class,notes
1226,these young boys,,hum,
1227,two boys,,hum,
1228,the father,of one boy,hum,
1229,one,boy,hum,
1230,the other one,boy,hum,
1231,your father,of 0230,hum,
1232,three apprentices,,hum,
1233,it,working on their own,abs,
1234,that,(events),abs,
1235,a job,,abs,
1236,the labour exchange,,abs,
1237,it,(events),abs,
1238,freedom,of 0226,abs,
1239,one,of 0226,hum,
1240,shipbuilding days,of 0000,abs,
1241,apprentices,,hum,
1242,those,apprentices,hum,
1243,the picture,,inm,physical world object
1244,us,speaker and apprentices at 0075,hum,
1245,men,,hum,
1246,that,(events),abs,
1247,it,work,abs,
1248,a ship,,inm,
1249,'t,,inm,
1250,planking,,inm,
1251,planks,,inm,
1252,we,speaker and shipwrights,hum,
1253,steam kiln,,inm,
1254,your shoulder,of 0002,bdp,
1255,everybody,,hum,
1256,their cap,of 0255,inm,
1257,their shoulder,of 0255,bdp,
1258,that,(events),abs,
1259,the side,,loc,
1260,more planks,,inm,
1261,the edges,of the planks,inm,
1262,the caulking,,inm,
1263,the oakum,,mss,
1264,the joint,,inm,
1265,that,caulking space,abs,
1266,that,the job of caulking,abs,
1267,the term picking oakum,,abs,
1268,they,prisoners in -0270,hum,
1269,it,picking oakum,abs,
1270,Dartmoor gaol,,loc,
1271,rope,,inm,
1272,that,oakum,mss,
1273,the shipyards,,inm,
1274,our knee,of 0252,bdp,
1275,that,rolled-up 0272,mss,
1276,these joints,,loc,
1277,it,joint with oakum,inm,
1278,the last one,,abs,
1279,hawsing iron,,inm,
1280,one,shipwright,hum,
1281,the other,shipwright,hum,
1282,a pestle,,inm,
1283,it,oakum in joint,mss,
1284,red lead,,mss,
1285,pitch,,mss,
1286,that,(events),abs,
1287,Plymouth,,loc,
1288,the first ship,"0000 worked on, the Sea-Plane",inm,
1289,it,a part of 0287,loc,
1290,a gas works,,inm,
1291,the quay,,loc,
1292,they,workers,hum,
1293,the people,,hum,
1294,he,,hum,
1295,'en,breaking apart 0288,abs,
1296,dynamite,,inm,
1297,the pieces,of 0288,inm,
1298,that,the end of 0288,abs,
1299,a boat,,inm,
1300,the timber,,inm,
1301,that,time needed to build 0299,abs,
1302,repair jobs,,abs,
1303,they,ships,inm,
1304,the beach,in Brixham,loc,
1305,the stocks,,inm,
1306,some,ships,inm,
1307,new keels,,inm,
1308,new planks,,inm,
1309,a new boat,,inm,
1310,the boats,,inm,
1311,larger companies,,abs,
1312,Brian Palin,,hum,
1313,submarines,,hum,
1314,a bomb,,inm,
1315,them,ships,inm,
1316,the crew,,hum,
1317,the end of the War,of 0167,tme,
1318,this Provident,the second Provident,inm,
1319,the fishing industry,,abs,
1320,the Mediterranean,,loc,
1321,here,Devon,loc,
1322,the Maritime Trust,,hum,
1323,the Island Sailing Club,,abs,
1324,Salcombe,,loc,
1325,a trip,,abs,
1326,the south,of Ireland,loc,
1327,Ireland,,loc,
2000,(speaker),,hum,
2001,(interviewer),,hum,
2003,father,of 0000,hum,
2004,Sean North,employer of 0000,hum,
2005,Sittingbourne,,loc,
2006,Mr Trawley,employer of 0000,hum,
2007,Rodmersham,,loc,
2008,recollection,of 0000,abs,
2009,back of a waggon,of 0010,inm,
2010,an old waggon,,inm,
2011,mother,of 0000,hum,
2012,brother,of 0000,hum,
2013,sister,of 0000,hum,
2014,family,of 0000,hum,
2015,house,at Molash,inm,
2016,Molash,,loc,
2017,village shop,,inm,
2018,post office,,inm,
2019,tradespeople,,hum,
2020,Faversham,,loc,
2021,Canterbury,,loc,
2022,a pony,,anm,
2023,a horse,,anm,
2024,business,of 0019,abs,
2025,cart,of 0019,inm,
2026,ponies,,anm,
2027,farms,,loc,
2028,one of the ponies,,anm,
2029,us boys,speaker and his brother,hum,
2030,some of the ponies,,anm,
2031,a bit of paper,,inm,
2032,a tradesman,,hum,
2033,a horse,that shies,anm,
2034,a horse,that wasn't genuine,anm,
2035,Slippery Joe,,hum,
2036,Folkestone,,loc,
2037,agreement,between 0003 and 0035,abs,
2038,horses,,anm,
2039,France,,loc,
2040,people in France,,hum,
2041,horse meat,,inm,
2042,ferrets,,anm,
2043,twenty ferrets,,anm,
2044,the farm,of 0003,loc,
2045,grub,for 0042,inm,
2046,bread and milk,,inm,
2047,Selling Church,,loc,
2048,hand,of 0002,bdp,
2049,an old rope,,inm,
2050,other side,of 0051,loc,
2051,the hutch,,inm,
2052,the way,,abs,
2053,feeding ferrets,,abs,
2054,twenty ferrets,,anm,
2055,this chap,,hum,
2056,West Well,,loc,
2057,The Wheel,,loc,
2058,people in France,,hum,
2059,the vermin,,anm,
2060,the forests,in France,loc,
2061,that job,,abs,
2062,a contract,with 0063,abs,
2063,G. Webb and Company,,hum,
2064,head of poultry,,anm,
2065,the farms,,loc,
2066,sovereigns,,inm,
2067,price of chickens,,abs,
2068,these chicken,,anm,
2069,old hens,,anm,
2070,London,,loc,
2071,we,"speaker, his brother, and father",hum,
2072,pony and cart,,inm,
2073,two ponies,,anm,
2074,four-wheel van,,inm,
2075,two-wheel cart,,inm,
2076,a pig cart,,inm,
2077,a hole,in 0076,inm,
2078,small pigs,,anm,
2079,tailboard,of 0076,inm,
2080,one pig,,anm,
2081,another pig,,anm,
2082,pig carts,,inm,
2083,a pig,,anm,
2084,net,,inm,
2085,top,of 0076,inm,
2086,the first job,,abs,
2087,Jack Court's,,hum,
2088,Fisher Street,,loc,
2089,twelve little pigs,,anm,
2090,Ashford Market,,loc,
2091,a pony,,anm,
2092,Haynes,,hum,
2093,Haynes' auction,,loc,
2094,Stalisfield,,loc,
2095,some calves,,anm,
2096,the way,to 0090,abs,
2097,some man,,hum,
2098,Ford Thorps,,hum,
2099,the first place,,loc,
2100,threepence,,inm,
2101,the pony,,anm,
2102,two stables,,inm,
2103,Merrill's yard,,loc,
2104,people,at 0103,hum,
2105,Bank Street,,loc,
2106,Ford Thorps' auction,,loc,
2107,ears,of 0000,bdp,
2108,that,,abs,
2109,that,,abs,
2110,Mr Haynes,,hum,
2111,Ford Thorps and Haynes,,hum,
2112,a man,,hum,
2113,it,,abs,
2114,the way,,abs,
2115,these ponies,,anm,
2116,horses,,anm,
2117,horses,that aren't broken properly,anm,
2118,a cob,,anm,
2119,we,speaker and his father,hum,
2120,Tom Smith,,hum,
2121,the gate,of 0044,inm,
2122,ears,of 0118,bdp,
2123,a horse,,anm,
2124,ears,of 0123,bdp,
2125,the road,,loc,
2126,ash stick,,inm,
2127,ribs,of 0118,bdp,
2128,thirlpin,of 0075,inm,
2129,life,of 0000,abs,
2130,another pony,,anm,
2131,these horses,,anm,
2132,horse dealers,,hum,
2133,a horse,,anm,
2134,sovereigns,,inm,
2135,a man,,hum,
2136,court,,loc,
2137,that job,,abs,
2138,them days,,tme,
2139,farms,,loc,
2140,dealers,,hum,
2141,horses,out of London,anm,
2142,streets,in London,inm,
2143,people,in London,hum,
2144,one big horse,,anm,
2145,legs,of 0144,bdp,
2146,front legs,of 0144,bdp,
2147,the farms,in Kent,loc,
2148,the farmers,round about,hum,
2149,chaps,,hum,
2150,the mart,,loc,
2151,four horses,,anm,
2152,two horses,,anm,
2153,another farmer,,hum,
2154,one horse,,anm,
2155,two or three,of 0149,hum,
2156,a dozen old horses,out of London,anm,
2157,every pub,,loc,
2158,the train,,inm,
2159,a train,,inm,
2160,the donkey,,anm,
2161,gypsy,,hum,
2162,two old gypsies,,hum,
2163,a town somewhere,,loc,
2164,people,,hum,
2165,us,,hum,
2166,it,the story,abs,
2167,one gypsy,,hum,
2168,the guard,,hum,
2169,the guard's van,,inm,
2170,other gypsy,,hum,
2171,the train,,inm,
2172,back,of 0170,bdp,
2173,lives,of 0165,abs,
2174,the horses,on 0044,anm,
2175,people,,hum,
2176,the outlying farms,,inm,
2177,Eastwell Park Estate,,abs,
2178,Lord Grand,,hum,
2179,horse premises,,inm,
2180,little ponies,,anm,
2181,the other place,over the road,loc,
2182,two places,,loc,
2183,the money,to buy 0044,inm,
2184,speaker's parents,0003 and 0011,hum,
2185,three cottages,at 0044,inm,
2186,the bank,,hum,
2187,that,,abs,
2188,speaker's wife,,hum,
2189,contacts,,abs,
2190,all the business,,abs,
2191,pubs,,loc,
2192,a pub,,loc,
2193,a farm,,loc,
2194,John Norman,,hum,
2195,a pony,,anm,
2196,a pony,,anm,
2197,the man,,hum,
2198,warranty,given by 0197,abs,
2199,father and John Norman,,hum,
2200,the harness,,inm,
2201,a white handkerchief,,inm,
2202,farm,where 0195 stays,loc,
2203,nine horses out of ten,,anm,
2204,home,of 0203,loc,
2205,the yard,at 0204,loc,
2206,that side,of 0203,bdp,
2207,the whip,,inm,
2208,a long whip,,inm,
2209,ribs,of 0203,bdp,
2210,the horses,,inm,
2211,a waggonette,,inm,
2212,station,,loc,
2213,a business,,abs,
2214,the old parson,,hum,
2215,some other parson,,hum,
2216,people,,hum,
2217,Chilham Station,,loc,
2218,a smart turnout,,abs,
2219,a grey pony,named Jimmy,anm,
2220,people,,hum,
2221,church,,loc,
2222,choir,at 0221,abs,
2223,all the boys,in Molash,hum,
2224,parents,of 0223,hum,
2225,we,people in Molash,hum,
2226,the yeomanry,,abs,
2227,farmers,,hum,
2228,farmers' sons,,hum,
2229,a horse,,anm,
2230,three horses,,anm,
2231,these horses,,anm,
2232,five pound,,inm,
2233,the saddle,,inm,
2234,some horses,,anm,
2235,backs,of 0234,bdp,
2236,one horse,,anm,
2237,the field,,loc,
2238,a sheep hurdle,,inm,
2239,the middle,of the field,loc,
2240,that,0236 jumping 0238,abs,
2241,inside,of 0000,bdp,
2242,Tim Fennel,,hum,
2243,people,from the towns,hum,
2244,towns,,loc,
2245,Stan Howl,,hum,
2246,Drylands,,loc,
2247,one,horse for 0245,anm,
2248,one,horse for 0242,anm,
2249,Andy Fennel,,hum,
2250,one,horse for 0249,anm,
2251,six customers,,hum,
2252,'Fourteen War,the First World War,abs,
2253,horses,,anm,
2254,farmers,,hum,
2255,their own horses,,anm,
2256,they,people at 0266,hum,
2257,a hunter,,anm,
2258,that,going hunting,abs,
2259,the man,Haggary,hum,
2260,his son,of 0259,hum,
2261,Scotland,,loc,
2262,one of the cottages,at 0266,inm,
2263,the cottages,at 0266,inm,
2264,we,speaker and his wife,hum,
2265,these hedges,at 0266,inm,
2266,this farm,owned by 0000,loc,
2267,that orchard,at 0266,inm,
2268,this house,at 0266,inm,
2269,a meadow,,loc,
2270,cattle,,anm,
2271,sheep,,anm,
2272,the porch,of 0268,inm,
2273,the lawns,at 0266,inm,
2274,Lord Sourstone,,hum,
2275,wine,,mss,
