ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
devon01,devon01,,Nils Norman Schiborr,"Schiborr, Nils N. 2020. Multi-CAST English. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2001. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#english) (date accessed)",1,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,154,EN02,male,80,yes,1900,yes,AN,1980,1900.7013151927438,englishdialectsresearchgroup2005;huddleston.pullum2002
kent01,kent01,,Nils Norman Schiborr,"Schiborr, Nils N. 2020. Multi-CAST English. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2001. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#english) (date accessed)",2,kent01_mp3 kent01_wav kent01_eaf kent01_xml kent01_tsv,334,EN01,male,85,no,1890,no,AN,1975,1648.1765759637187,englishdialectsresearchgroup2005;huddleston.pullum2002
kent02,kent02,,Nils Norman Schiborr,"Schiborr, Nils N. 2020. Multi-CAST English. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2001. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#english) (date accessed)",3,kent02_a_mp3 kent02_a_wav kent02_a_eaf kent02_a_xml kent02_a_tsv kent02_b_mp3 kent02_b_wav kent02_b_eaf kent02_b_xml kent02_b_tsv,902,EN01,male,85,no,1890,no,AN,1975,3762.624149659864,englishdialectsresearchgroup2005;huddleston.pullum2002
kent03,kent03,,Nils Norman Schiborr,"Schiborr, Nils N. 2020. Multi-CAST English. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2001. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#english) (date accessed)",4,kent03_a_mp3 kent03_a_wav kent03_a_eaf kent03_a_xml kent03_a_tsv kent03_b_mp3 kent03_b_wav kent03_b_eaf kent03_b_xml kent03_b_tsv,577,EN03,male,87,no,1889,no,AN,1976,3307.164739229025,englishdialectsresearchgroup2005;huddleston.pullum2002
london01,london01,,Nils Norman Schiborr,"Schiborr, Nils N. 2020. Multi-CAST English. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2001. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#english) (date accessed)",5,ondon01_b_mp3 ondon01_b_wav ondon01_b_eaf ondon01_b_xml ondon01_b_tsv ondon01_a_mp3 ondon01_a_wav ondon01_a_eaf ondon01_a_xml ondon01_a_tsv,436,EN04,male,61,no,1924,no,AN,1985,3537.0261451247165,englishdialectsresearchgroup2005;huddleston.pullum2002
